key,value
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:reducer:word_count:0,result
0:reducer:word_count:1,result
0:reducer:word_count:2,result
0:reducer:word_count:3,result
0:reducer:word_count:4,result
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
0:mapper:word_count:0,"('./input_data/input.txt', ['this this\n', 'hello hello\n'])"
0:mapper:word_count:1,"('./input_data/input.txt', ['good good\n', 'this this this\n'])"
0:mapper:word_count:2,"('./input_data/input.txt', ['what is this\n'])"
0:mapper:word_count:3,"('./input_data/input.txt', ['this is this\n'])"
0:mapper:word_count:4,"('./input_data/input.txt', ['this is this'])"
